Gene,WT_a,WT_b,null_a,null_b,R61K_a,R61K_b,R61H_a,R61H_b,F71Y_a,F71Y_b,Start,End,Strand,Reference,Locus,Product,Note
yozH,106,149,90,197,90,202,97,196,155,173,2056650,2057006,-,chr,BSU18860,hypothetical protein,Evidence 5: No homology to any previously reported sequences
yozI,153,307,170,290,131,371,135,353,247,257,2057214,2057579,+,chr,BSU18870,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
yobE,581,836,769,1158,609,1002,664,1113,838,834,2057801,2058460,+,chr,BSU18880,hypothetical protein,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type h: extrachromosomal origin"
yobF,523,1414,648,1696,451,1556,552,1533,1075,1215,2058715,2059638,-,chr,BSU18890,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
yozW,13,16,11,25,17,16,11,19,20,21,2059691,2059864,-,chr,BSU18898,hypothetical protein,Evidence 5: No homology to any previously reported sequences
yozX,5,11,4,18,9,21,6,8,9,15,2060009,2060233,+,chr,BSU18899,hypothetical protein,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type h: extrachromosomal origin"
yozJ,15,30,14,28,9,54,9,45,29,36,2060237,2060692,-,chr,BSU18900,hypothetical protein,Evidence 5: No homology to any previously reported sequences
yozY,163,166,172,205,141,180,124,188,127,107,2060817,2061077,+,chr,BSU18908,transcriptional regulator,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type h: extrachromosomal origin"
yozZ,2,1,2,9,6,9,4,5,0,3,2061855,2061995,+,chr,BSU18909,,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type h: extrachromosomal origin"
rapK,586,1278,836,2711,538,2042,598,2325,1500,1479,2062150,2063265,+,chr,BSU18910,response regulator aspartate phosphatase,Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 16816200; Product type e: enzyme
phrK,15,13,31,18,24,20,24,28,19,28,2063262,2063384,+,chr,BSU18920,secreted regulator of the activity of phosphatase RapK,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 11587781, 16816200; Product type r: regulator"
yobH,19,13,26,10,21,17,23,12,19,10,2063510,2064163,-,chr,BSU18930,DNA repair protein,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pe:  enzyme"
yozK,3,7,1,3,3,12,2,6,7,2,2064200,2064547,-,chr,BSU18940,DNA repair protein fragment,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 12137951; Product type h : extrachromosomal origin"
yozL,1,4,1,0,2,12,1,3,5,2,2064540,2064833,-,chr,BSU18950,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function; PubMedId: 12137951
yozM,16,35,10,37,13,36,8,27,24,24,2065042,2065377,+,chr,BSU18960,bacteriophage protein,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type h: extrachromosomal origin"
yobI,1564,4714,1207,4235,1278,4208,1051,4110,3194,4205,2065424,2069029,-,chr,BSU18970,NTPase with transmembrane helices,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 15128444; Product type pe :  enzyme"
yoyA,24,40,12,45,20,61,19,33,32,55,2069262,2069561,-,chr,BSU18979,,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type h: extrachromosomal origin"
yobJ,998,4769,623,3322,644,3693,514,3088,2851,3195,2070244,2071086,-,chr,BSU18980,hypothetical protein,Evidence 5: No homology to any previously reported sequences
yobK,148,272,115,217,95,244,93,262,208,255,2071286,2071744,-,chr,BSU18990,hypothetical protein,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type h: extrachromosomal origin"
yobL,527,1008,385,812,333,934,368,939,878,875,2071754,2073556,-,chr,BSU19000,phage DNA manipulating enzyme,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type h: extrachromosomal origin"
yobM,104,323,103,299,75,318,67,289,236,268,2073658,2074221,-,chr,BSU19010,hypothetical protein,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type h: extrachromosomal origin"
yobN,123,107,100,84,94,127,86,100,102,88,2074439,2075779,+,chr,BSU19020,amine oxidase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pe:  enzyme"
yobO,164,172,255,227,176,200,190,200,181,164,2076206,2078626,+,chr,BSU19030,phage-related pre-neck appendage protein,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type h: extrachromosomal origin"
csaA,104,88,399,489,237,428,306,618,333,272,2079214,2079546,-,chr,BSU19040,molecular chaperone,"Evidence 2a: Function of homologous gene experimentally demonstrated in an other organism; PubMedId: 10658654, 10816431, 13129613, 15856219, 17372352; Product type f: factor"
yobQ,222,275,791,983,512,690,620,1057,529,567,2079611,2080336,-,chr,BSU19050,AraC family transcriptional regulator,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 10704478; Product type pr : regulator"
yobR,209,313,855,1209,552,964,666,1349,686,784,2080351,2081094,-,chr,BSU19060,acetyltransferase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 12793527; Product type pe :  enzyme"
yobS,97,126,70,117,84,127,69,138,114,129,2081172,2081747,-,chr,BSU19070,transcriptional regulator,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pr:  regulator"
yobT,174,165,157,142,101,155,96,209,128,146,2081753,2082454,-,chr,BSU19080,metal-dependent hydrolase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pe:  enzyme"
yobU,7,24,26,29,12,31,12,32,33,18,2082531,2083013,-,chr,BSU19090,effector of transcriptional regulator,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pf:  factor"
yobV,107,100,75,130,67,114,56,114,93,120,2083067,2084008,-,chr,BSU19100,transcriptional regulator,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pr:  regulator"
yobW,28,21,23,28,19,28,19,23,23,24,2084214,2084759,+,chr,BSU19110,mother cell-specific membrane sporulation protein,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 15849754, 16850406, 8990290; Product type f: factor"
czrA,217,900,224,969,153,921,182,1132,946,911,2084786,2085109,-,chr,BSU19120,ArsR family transcriptional regulator,Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 16430705; Product type r: regulator
yocA,2111,3484,1904,2969,1793,2952,1676,3390,2579,2931,2085303,2085980,+,chr,BSU19130,transposon-related lytic enzyme,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type h: extrachromosomal origin"
yozB,1404,1169,1186,905,1110,1178,897,1157,963,1078,2086070,2086606,-,chr,BSU19140,hypothetical protein,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 15849754, 16850406; Product type pm: membrane component"
yocB,65,78,64,90,51,101,50,109,72,128,2086743,2087525,-,chr,BSU19150,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
yocC,315,457,239,441,229,425,190,437,390,411,2087696,2088193,+,chr,BSU19160,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
yocD,1434,1383,1279,1535,1083,1514,1049,1684,1257,1277,2088257,2089234,+,chr,BSU19170,carboxypeptidase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pe:  enzyme"
des,1302,1112,1038,1019,967,869,719,1171,926,945,2089396,2090454,+,chr,BSU19180,fatty acid desaturase,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 12207704, 15247225, 15711796, 16105701; Product type e: enzyme"
desK,281,481,254,509,258,421,229,474,337,429,2090574,2091686,+,chr,BSU19190,two-component sensor histidine kinase DesR,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 11285232, 11717295, 12207704, 14734164, 15090506, 15711796; Product type rc : receptor"
desR,156,164,150,136,169,172,131,209,155,166,2091705,2092304,+,chr,BSU19200,two-component response regulator DesK,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 11285232, 11717295, 12207704, 14734164, 15090506, 15711796; Product type r : regulator"
yocH,5497,7479,7077,10288,5648,7687,5295,9331,6818,7182,2092899,2093762,-,chr,BSU19210,exported cell wall-binding protein,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 17307850; Product type pf :  factor"
yocI,489,539,508,626,349,728,433,671,518,738,2094010,2095785,-,chr,BSU19220,ATP-dependent nucleic acid helicase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 11886746; Product type pe :  enzyme"
yocJ,738,1165,374,579,537,975,399,965,1038,1246,2096350,2096976,-,chr,BSU19230,azoreductase,FMN-dependent; requires NADH; catalyzes the cleavage of azo bond in aromatic azo compounds
yocK,112,193,115,157,147,183,123,254,182,244,2097126,2097617,-,chr,BSU19240,general stress protein,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 10220166; Product type pf :  factor"
yocL,136,139,101,141,111,156,131,176,138,175,2097692,2098024,-,chr,BSU19250,hypothetical protein,Evidence 5: No homology to any previously reported sequences
yoyB,89,109,95,110,80,84,55,116,92,127,2098102,2098329,+,chr,BSU19259,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
yocM,157,262,173,287,146,279,95,329,260,305,2098316,2098792,-,chr,BSU19260,spore coat protein,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 11150673; Product type ps : structure"
yozN,111,110,111,101,103,102,83,128,90,124,2098859,2099122,+,chr,BSU19270,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
yocN,156,115,159,170,166,149,129,132,133,144,2099127,2099360,+,chr,BSU19280,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
yozO,388,811,389,744,305,869,310,921,726,868,2099446,2099790,-,chr,BSU19290,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
yozC,261,784,213,661,202,817,219,961,744,878,2100147,2100350,-,chr,BSU19300,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
dhaS,1632,2061,1765,2102,1353,1976,1283,2293,1791,1904,2100580,2102067,+,chr,BSU19310,aldehyde dehydrogenase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pe:  enzyme"
sqhC,92,90,148,91,180,93,113,90,72,83,2102168,2104066,+,chr,BSU19320,squalene-hopene cyclase,Evidence 2a: Function of homologous gene experimentally demonstrated in an other organism; PubMedId: 2253626; Product type e: enzyme
sodF,75,67,124,89,119,87,116,74,47,58,2104056,2104901,+,chr,BSU19330,superoxide dismutase,Evidence 2b: Function of strongly homologous gene; Product type e: enzyme
yocR,2292,1950,3195,2933,2235,2309,2531,2779,1673,2076,2104934,2106271,-,chr,BSU19340,sodium-dependent transporter,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 15849754, 16850406; Product type pt: transporter"
yocS,177,136,9150,6664,2122,1623,5059,4643,789,819,2106490,2107455,+,chr,BSU19350,sodium-dependent transporter,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 15849754, 16850406; Product type pt: transporter"
odhB,11695,17382,13273,20017,10483,18473,9548,23622,17081,19133,2107505,2108758,-,chr,BSU19360,dihydrolipoamide succinyltransferase,component of 2-oxoglutarate dehydrogenase complex; catalyzes the transfer of succinyl coenzyme A to form succinyl CoA as part of the conversion of 2-oxoglutarate to succinyl-CoA
sucA,26821,31528,29777,36350,23454,34002,22212,39551,29202,33676,2108774,2111608,-,chr,BSU19370,2-oxoglutarate dehydrogenase E1,SucA; E1 component of the oxoglutarate dehydrogenase complex which catalyzes the formation of succinyl-CoA from 2-oxoglutarate; SucA catalyzes the reaction of 2-oxoglutarate with dihydrolipoamide succinyltransferase-lipoate to form dihydrolipoamide succinyltransferase-succinyldihydrolipoate and carbon dioxide
yojO,2556,3511,1892,2556,2030,3262,1856,3331,3002,3548,2111837,2113753,-,chr,BSU19380,activator of nitric oxide reductase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pr:  regulator"
yojN,1394,2247,910,1614,1047,2214,972,1876,1772,2000,2113764,2114678,-,chr,BSU19390,nitric-oxide reductase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 15491156; Product type pe :  enzyme"
sodC,37,49,39,54,32,33,33,43,25,35,2114742,2115332,-,chr,BSU19400,superoxide dismutase (exported lipoprotein),Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 15897454; Product type lp: lipoprotein
cwlS,364,475,414,575,309,495,311,577,363,438,2115425,2116669,-,chr,BSU19410,peptidoglycan hydrolase,Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 16855244; Product type e: enzyme
yojK,248,483,203,339,182,411,206,393,344,397,2117051,2118268,-,chr,BSU19420,glycosyltransferase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pe:  enzyme"
yojJ,12,5,4,11,10,17,9,8,8,9,2118504,2119127,-,chr,BSU19430,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
yojI,1277,1013,1100,838,1186,1035,970,937,800,981,2119393,2120751,+,chr,BSU19440,multidrug efflux protein,NorM; MdtK; functions as a Na(+)/drug antiporter; inactivation in Vibrio cholerae results in susceptibility to fluoroquinolones
rsbRC,838,979,720,1065,661,1227,617,1136,1017,1169,2120767,2121615,+,chr,BSU19450,piezosome protein,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 15312768, 15583165, 17158665; Product type f: factor"
yojG,1216,1615,1504,1836,1322,2096,1437,2482,2217,2289,2121641,2122306,-,chr,BSU19460,deacetylase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 15136574; Product type pe :  enzyme"
yojF,581,802,621,926,621,1068,635,1153,940,1032,2122325,2122675,-,chr,BSU19470,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
yoyC,523,999,539,1048,493,1189,547,1301,1151,1242,2122672,2122950,-,chr,BSU19479,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
yojE,414,322,796,469,753,552,716,621,468,452,2123026,2123922,-,chr,BSU19480,hypothetical protein,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 15849754, 16850406; Product type pm: membrane component"
gerT,5,8,3,8,9,3,5,6,3,7,2124021,2124494,+,chr,BSU19490,spore coat protein,Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 17720779; Product type s: structure
yojB,5,0,4,1,4,0,2,0,0,2,2124529,2124765,-,chr,BSU19510,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
yojA,24,18,41,14,40,33,33,25,20,27,2124850,2126184,-,chr,BSU19520,H+/anion permease,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 15849754, 16850406, 3020045; Product type pt:  transporter"
yodA,75,62,120,117,112,115,92,115,73,98,2126549,2126938,+,chr,BSU19530,tautomerase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pe:  enzyme"
yodB,181,194,218,246,150,264,195,317,284,231,2127345,2127683,-,chr,BSU19540,transcriptional repressor,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 17158660, 18208493; Product type r: regulator"
yodC,3050,3558,2572,2900,2489,3564,2325,3646,3442,3431,2127813,2128421,+,chr,BSU19550,oxidoreductase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pe:  enzyme"
yodD,45,57,65,85,59,86,64,80,65,65,2128464,2129066,-,chr,BSU19560,hydrolase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 17407181; Product type pe :  enzyme"
yodE,61,76,80,108,91,96,82,133,104,115,2129082,2129993,-,chr,BSU19570,lyase/dioxygenase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 17407181; Product type pe :  enzyme"
yoyD,256,283,2114,2530,1454,2203,1842,2939,1248,1524,2130177,2130377,+,chr,BSU19579,hypothetical protein,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pf:  factor"
yodF,1365,811,13141,7562,9656,6312,11863,9230,3966,4424,2130377,2131867,+,chr,BSU19580,Na+/metabolite permease,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 12823818, 15849754, 16850406; Product type pt:  transporter"
ctpA,3652,6202,2760,5027,2472,5085,2511,5823,5298,6103,2131902,2133302,-,chr,BSU19590,carboxy-terminal processing protease,"Evidence 2a: Function of homologous gene experimentally demonstrated in an other organism; PubMedId: 10974125, 14526016, 8996100; Product type e : enzyme"
yodH,31,32,31,24,41,32,21,23,33,32,2133455,2134156,+,chr,BSU19600,S-adenosylmethionine-dependent methyltransferase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pe:  enzyme"
yodI,9,10,4,6,13,9,8,7,8,13,2134244,2134495,+,chr,BSU19610,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
yodJ,1397,1546,737,919,926,1404,717,1274,1491,1861,2134566,2135387,-,chr,BSU19620,D-alanyl-D-alanine carboxypeptidase,"Evidence 2a: Function of homologous gene experimentally demonstrated in an other organism; PubMedId: 15187182, 8631706; Product type e: enzyme"
deoD,2195,2890,1321,1746,1372,2383,1229,2316,2417,2908,2135470,2136171,-,chr,BSU19630,purine nucleoside phosphorylase,catalyzes the reversible phosphorolysis of ribonucleosides and 2'- deoxyribonucleosides to the free base and (2'-deoxy)ribose-1- phosphate
yoyE,14,11,6,6,10,3,3,2,5,5,2136373,2136498,+,chr,BSU19639,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
yodL,120,121,108,103,91,130,96,143,108,120,2136538,2136852,-,chr,BSU19640,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
yodM,236,203,158,168,151,224,156,216,166,216,2136913,2137524,-,chr,BSU19650,phospholipid phosphatase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; PubMedId: 15849754, 16850406; Product type pe: enzyme"
yozD,30,172,14,128,12,133,18,120,118,160,2137602,2137778,-,chr,BSU19660,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
yoyF,8,10,11,19,7,16,6,8,7,13,2137897,2138040,+,chr,BSU19669,hypothetical protein,Evidence 5: No homology to any previously reported sequences
yodN,60,98,36,62,32,72,39,71,57,76,2138037,2138717,-,chr,BSU19670,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
yozE,175,73,176,55,102,48,141,74,70,90,2138868,2139092,-,chr,BSU19680,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
yokU,19,18,24,12,22,30,17,29,26,12,2139179,2139457,-,chr,BSU19689,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
kamA,86,53,102,57,77,72,86,59,47,48,2139454,2140869,-,chr,BSU19690,"lysine 2,3-aminomutase","Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 10629195, 10839984, 11148055, 18307109; Product type e: enzyme"
yodP,28,13,18,19,40,21,26,15,31,33,2140898,2141725,-,chr,BSU19700,acetyltransferase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pe:  enzyme"
yodQ,28,20,26,19,28,16,27,19,10,16,2141703,2143013,-,chr,BSU19710,acetylornithine deacetylase,catalyzes the formation of L-ornithine from N(2)-acetyl-L-ornithine
yodR,9,3,3,3,14,1,10,2,7,6,2143022,2143675,-,chr,BSU19720,acyloate-acetoacetate CoA-transferase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pe:  enzyme"
yodS,13,1,11,4,8,6,9,8,4,3,2143660,2144349,-,chr,BSU19730,aminoacyloate CoA-transferase,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pe:  enzyme"
yodT,7,7,7,1,13,4,5,3,10,4,2144356,2145690,-,chr,BSU19740,hypothetical protein,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pe:  enzyme"
yoyG,1,0,1,0,1,0,2,0,2,2,2145820,2145933,-,chr,BSU19749,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
cgeE,40,57,50,48,35,63,33,59,56,54,2146013,2146792,-,chr,BSU19750,spore coat maturation protein,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 10066829, 1729246; Product type cp: cell process"
cgeD,23,17,31,41,30,50,16,63,32,44,2146821,2148101,-,chr,BSU19760,spore coat maturation protein,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 10066829, 1729246; Product type cp: cell process"
cgeC,9,2,2,5,5,4,0,2,7,8,2148166,2148471,-,chr,BSU19770,spore coat maturation protein,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 10066829, 1729246; Product type cp: cell process"
cgeA,17,7,5,6,13,5,5,4,4,5,2148676,2149077,+,chr,BSU19780,spore outermost layer component,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 14702409, 15621419, 759239; Product type cp: cell process"
cgeB,48,16,34,22,23,8,22,25,25,19,2149084,2150037,+,chr,BSU19790,spore coat maturation protein,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 10066829, 1729246; Product type cp: cell process"
phy,25,38,17,34,22,21,25,35,30,33,2150108,2151256,-,chr,BSU19800,phytase,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 10679209, 12111145, 12556126; Product type e: enzyme"
ypqP,5,2,3,3,6,8,2,3,2,5,2151626,2152045,+,chr,BSU19810,,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pe:  enzyme"
yotN,0,1,0,0,2,2,0,4,0,1,2152086,2152262,-,chr,BSU19820,hypothetical protein,Evidence 5: No homology to any previously reported sequences; PubMedId: 10376821; Product type h : extrachromosomal origin
yotM,4,3,5,6,7,6,7,10,5,7,2152265,2152852,-,chr,BSU19830,hypothetical protein,Evidence 5: No homology to any previously reported sequences; PubMedId: 10376821; Product type h : extrachromosomal origin
yotL,41,112,33,134,30,132,26,126,70,106,2152927,2153169,+,chr,BSU19840,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
yotK,15,10,18,20,12,17,7,6,8,4,2153171,2153356,-,chr,BSU19850,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
yotJ,3,10,1,11,3,18,6,16,3,11,2153440,2153652,-,chr,BSU19860,hypothetical protein,Evidence 5: No homology to any previously reported sequences
yotI,8,21,4,22,7,32,11,14,11,26,2153718,2154080,-,chr,BSU19870,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
yotH,2,5,11,3,4,11,6,6,4,14,2154077,2154250,-,chr,BSU19880,hypothetical protein,Evidence 5: No homology to any previously reported sequences
yotG,8,18,19,14,13,23,19,23,11,33,2154266,2154583,-,chr,BSU19890,hypothetical protein,Evidence 5: No homology to any previously reported sequences
yotF,2,14,5,4,5,6,2,15,5,9,2154596,2154673,-,chr,BSU19900,hypothetical protein,Evidence 5: No homology to any previously reported sequences
yotE,5,8,4,10,3,14,6,2,6,4,2154705,2154851,-,chr,BSU19910,hypothetical protein,Evidence 5: No homology to any previously reported sequences
yotD,8,14,6,15,5,26,5,27,9,28,2154887,2155018,-,chr,BSU19920,hypothetical protein,Evidence 5: No homology to any previously reported sequences
yotC,5,18,13,10,6,26,12,21,7,33,2155058,2155249,-,chr,BSU19930,hypothetical protein,Evidence 5: No homology to any previously reported sequences
yotB,44,56,38,37,49,82,48,71,43,78,2155293,2156120,-,chr,BSU19940,metallo-dependent hydrolase; phage SPbeta,"Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pe:  enzyme"
sspC,16,13,7,4,11,15,13,10,7,13,2156239,2156457,+,chr,BSU19950,small acid-soluble spore protein,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 10376821, 12234173, 14526021, 15150240; Product type s: structure"
yosX,16,20,8,18,19,50,18,24,20,35,2156757,2157110,-,chr,BSU19970,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
yosW,14,7,2,5,11,11,6,8,7,11,2157341,2157682,-,chr,BSU19980,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
yosV,7,26,8,13,11,56,9,34,23,51,2157829,2158119,-,chr,BSU19990,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
yojW,6,9,0,3,6,14,11,14,8,14,2158120,2158287,-,chr,BSU19999,hypothetical protein,Evidence 5: No homology to any previously reported sequences
yosU,59,135,59,181,44,187,50,225,142,159,2158439,2158684,+,chr,BSU20000,hypothetical protein,Evidence 5: No homology to any previously reported sequences
yosT,62,226,63,229,59,285,84,247,224,193,2158724,2159173,-,chr,BSU20010,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
yosS,16,68,46,66,64,117,45,103,84,64,2159268,2159696,-,chr,BSU20020,SPbeta phage deoxyuridine 5'-triphosphate nucleotidohydrolase,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 11375514, 15939294; Product type h: extrachromosomal origin"
yosR,5,8,5,15,4,15,9,21,14,12,2159742,2159984,-,chr,BSU20030,SPbeta phage thiol disulfide oxidoreductase,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 15937154, 16885274, 17395719; Product type h: extrachromosomal origin"
nrdF,120,317,170,230,138,422,202,365,258,320,2159981,2161778,-,chr,BSU20040,ribonucleotide-diphosphate reductase subunit beta,B2 or R2 protein; type 1b enzyme; catalyzes the rate-limiting step in dNTP synthesis; converts nucleotides to deoxynucleotides; forms a homodimer and then a multimeric complex with NrdE
yosQ,29,75,34,56,25,100,44,101,60,71,2160565,2161086,-,chr,BSU20050,SPbeta phage endodeoxyribonuclease,"Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 11470879, 16621400, 17395719, 9465078; Product type h: extrachromosomal origin"
nrdEB,192,321,282,248,341,579,367,379,287,504,2162108,2165614,-,chr,BSU20060,"SPbeta phage ribonucleoside-diphosphate reductase, alpha subunit","Evidence 1a: Function experimentally demonstrated in the studied strain; PubMedId: 11470879, 16621400, 17395719, 9465078; Product type e: enzyme"
nrdI,7,10,9,7,9,12,11,4,4,9,2165577,2165966,-,chr,BSU20070,ribonucleotide reductase stimulatory protein,in Salmonella NrdI has a stimulatory effect on the ribonucleotide reductase activity of NrdH with NrdEF
yosL,8,7,5,5,5,4,15,10,4,9,2165972,2166325,-,chr,BSU20080,hypothetical protein,Evidence 5: No homology to any previously reported sequences
yosK,11,14,19,2,8,20,15,13,6,16,2166413,2166613,-,chr,BSU20090,hypothetical protein,Evidence 5: No homology to any previously reported sequences
yosJ,11,26,5,9,20,39,15,17,13,41,2166658,2166852,-,chr,BSU20100,hypothetical protein,Evidence 5: No homology to any previously reported sequences
yosI,5,21,3,14,7,44,8,23,5,25,2166873,2167007,-,chr,BSU20110,hypothetical protein,Evidence 5: No homology to any previously reported sequences
yosH,20,33,30,19,44,77,42,37,44,57,2167039,2167509,-,chr,BSU20120,hypothetical protein,Evidence 4: Homologs of previously reported genes of unknown function
